Detector;Descriptor;Image No;Detection Time;Matched Keys;Avg. NBH. dist.;Descriptor ext. time
FAST;ORB;image7;3.301738;418;7.000000;2.526897;
FAST;ORB;image8;2.951510;406;7.000000;2.382403;
FAST;ORB;image9;6.158246;396;7.000000;2.322161;
FAST;ORB;image10;2.923972;401;7.000000;2.708087;
FAST;FREAK;image1;2.138634;419;7.000000;76.877855;
FAST;FREAK;image2;3.504972;427;7.000000;81.085136;
FAST;FREAK;image3;4.751487;404;7.000000;70.562704;
FAST;FREAK;image4;3.089897;423;7.000000;73.253743;
FAST;FREAK;image5;2.717070;386;7.000000;77.379694;
FAST;FREAK;image6;2.728934;414;7.000000;69.997454;
FAST;FREAK;image7;3.109718;418;7.000000;78.876775;
FAST;FREAK;image8;2.656281;406;7.000000;76.693603;
FAST;FREAK;image9;2.475161;396;7.000000;70.222270;
FAST;FREAK;image10;3.168560;401;7.000000;79.192015;
FAST;SIFT;image1;2.138850;419;7.000000;71.875450;
FAST;SIFT;image2;3.865542;427;7.000000;83.743877;
FAST;SIFT;image3;2.125317;404;7.000000;96.401777;
FAST;SIFT;image4;4.189142;423;7.000000;71.190751;
FAST;SIFT;image5;2.442414;386;7.000000;67.859532;
FAST;SIFT;image6;4.407451;414;7.000000;76.901361;
FAST;SIFT;image7;3.080263;418;7.000000;76.416227;
FAST;SIFT;image8;3.400704;406;7.000000;77.274322;
FAST;SIFT;image9;2.423351;396;7.000000;68.497866;
FAST;SIFT;image10;2.895667;401;7.000000;75.451724;
BRISK;BRIEF;image1;485.270258;264;21.549159;1.300503;
BRISK;BRIEF;image2;526.387283;282;21.785301;1.296031;
BRISK;BRIEF;image3;477.518221;282;21.650864;1.359919;
BRISK;BRIEF;image4;458.175721;277;20.358249;1.263577;
BRISK;BRIEF;image5;451.676882;297;22.591091;1.525515;
BRISK;BRIEF;image6;453.464467;279;22.944164;1.286568;
BRISK;BRIEF;image7;448.396603;289;21.801379;1.424694;
BRISK;BRIEF;image8;459.464871;272;22.147183;1.238771;
BRISK;BRIEF;image9;452.951875;266;22.555769;1.356805;
BRISK;BRIEF;image10;458.309153;254;22.038863;1.324726;
BRISK;ORB;image1;459.215637;264;21.549159;6.890160;
BRISK;ORB;image2;456.098280;282;21.785301;6.901444;
BRISK;ORB;image3;462.147355;282;21.650864;6.845420;
